"","DMSO1","DMSO2","DMSO3","AMLE1","AMLE2","AMLE3"
"0610005C13Rik",8,8,11,14,17,8
"0610007P14Rik",1039,992,1114,882,1137,932
"0610009B22Rik",334,261,318,230,336,283
"0610009L18Rik",16,34,25,29,37,27
"0610009O20Rik",687,583,623,469,582,494
"0610010B08Rik",0,0,0,0,0,0
"0610010F05Rik",894,873,1045,630,877,772
"0610010K14Rik",943,907,914,705,898,627
"0610011F06Rik",372,361,303,266,370,238
"0610012G03Rik",932,916,883,833,961,831
"0610030E20Rik",2315,2118,1963,1825,2500,1850
"0610031O16Rik",0,0,0,0,0,0
"0610037L13Rik",556,589,571,499,683,452
"0610038B21Rik",8,14,7,10,8,15
"0610039H22Rik",1,1,0,0,0,0
"0610039K10Rik",10,2,6,10,9,7
"0610040B10Rik",15,16,21,20,34,24
"0610040F04Rik",4,9,0,10,16,10
"0610040J01Rik",23,25,29,5,10,14
"0610043K17Rik",5,2,4,4,5,4
"1010001N08Rik",0,0,0,0,0,0
"1110001J03Rik",270,281,244,155,180,138
"1110002L01Rik",53,51,47,58,84,47
"1110004E09Rik",331,289,274,139,162,107
"1110004F10Rik",2514,2349,2395,1941,2571,1979
"1110006O24Rik",25,21,26,28,37,17
"1110007C09Rik",3603,3360,2962,3005,3380,2986
"1110008F13Rik",1039,900,855,714,922,783
"1110008L16Rik",240,229,246,168,221,202
"1110008P14Rik",1043,1015,977,928,997,890
"1110012L19Rik",357,328,362,280,418,312
"1110015O18Rik",0,0,0,0,0,0
"1110017D15Rik",0,4,2,2,2,1
"1110019D14Rik",74,54,52,37,54,57
"1110020A21Rik",2,9,6,6,9,5
"1110025L11Rik",0,0,0,0,0,0
"1110028F11Rik",3,8,3,10,13,4
"1110028F18Rik",0,0,0,0,0,0
"1110032A03Rik",198,178,201,189,302,237
"1110032F04Rik",13,15,26,71,95,65
"1110034G24Rik",107,95,126,121,152,117
"1110036E04Rik",0,0,0,0,0,0
"1110037F02Rik",3004,2604,2670,2190,3108,2220
"1110038B12Rik",858,811,675,570,630,513
"1110038F14Rik",869,773,821,735,872,696
"1110046J04Rik",5,5,4,11,13,5
"1110051M20Rik",190,170,187,249,393,207
"1110058D11Rik",0,0,0,0,1,1
"1110059E24Rik",541,432,434,336,481,322
"1110059G10Rik",401,388,474,319,471,381
"1110065P20Rik",117,89,116,96,134,105
"1190002F15Rik",156,123,147,62,69,82
"1190002N15Rik",249,249,260,157,205,179
"1190003K10Rik",0,0,0,0,0,0
"1190005I06Rik",0,0,0,0,0,0
"1190007I07Rik",122,110,103,116,133,87
"1200014J11Rik",1642,1518,1610,1219,1511,1222
"1300002E11Rik",187,178,139,221,350,192
"1300017J02Rik",2,0,2,1,0,1
"1500004A13Rik",100,85,136,90,145,102
"1500009C09Rik",0,0,0,0,0,0
"1500009L16Rik",4,3,3,4,6,4
"1500011B03Rik",320,287,262,337,496,314
"1500011K16Rik",429,378,448,378,442,421
"1500012F01Rik",827,723,737,1259,1561,873
"1500012K07Rik",0,1,0,2,1,0
"1500015A07Rik",67,75,65,78,100,52
"1500015L24Rik",0,0,0,0,0,0
"1500015O10Rik",7,4,1,2,3,5
"1500017E21Rik",0,1,0,0,0,1
"1500026H17Rik",4,2,3,3,2,0
"1600002D24Rik",3,1,2,2,2,0
"1600002H07Rik",360,306,326,198,267,196
"1600002K03Rik",203,176,192,185,254,163
"1600010M07Rik",126,98,96,84,120,79
"1600012H06Rik",1087,1032,1073,938,1104,1008
"1600014C10Rik",4377,3798,3435,3981,4846,3672
"1600014C23Rik",0,0,3,0,0,2
"1600014K23Rik",0,0,0,0,0,0
"1600015I10Rik",0,1,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0
"1600020E01Rik",121,105,123,117,180,128
"1600023N17Rik",1,0,2,2,2,2
"1600025M17Rik",0,0,0,0,0,0
"1600027J07Rik",0,0,0,0,0,0
"1600029I14Rik",0,2,4,3,1,8
"1600029O15Rik",1,1,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0
"1700001C19Rik",4,0,1,1,3,3
"1700001D01Rik",0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0
"1700001G11Rik",4,5,3,2,10,7
"1700001G17Rik",2,4,4,3,2,1
"1700001J03Rik",4,3,5,5,15,4
"1700001J11Rik",1,0,0,2,0,0
"1700001K19Rik",21,14,16,21,23,13
"1700001K23Rik",6,2,3,1,2,6
"1700001L05Rik",197,171,173,113,163,146
"1700001L19Rik",0,0,0,0,0,0
"1700001O22Rik",8,7,11,7,19,23
"1700001P01Rik",1,1,0,0,2,3
"1700003C15Rik",0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0
"1700003E16Rik",6,9,29,6,10,10
"1700003E24Rik",0,0,0,0,0,0
"1700003F12Rik",2,5,2,4,3,5
"1700003G13Rik",0,0,0,0,0,0
"1700003G18Rik",0,0,0,0,1,0
"1700003H04Rik",0,0,0,0,0,0
"1700003I22Rik",0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0
"1700003M02Rik",0,0,0,0,0,0
"1700003M07Rik",1,1,0,2,5,1
"1700003P14Rik",0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0
"1700007F19Rik",0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0
"1700007J10Rik",7,15,5,17,17,13
"1700007K09Rik",1,0,1,2,3,2
"1700007K13Rik",5,1,2,6,14,5
"1700007L15Rik",52,34,34,31,41,33
"1700007P06Rik",0,0,0,0,0,0
"1700008C04Rik",0,0,0,0,0,0
"1700008J07Rik",34,31,34,39,34,35
"1700008K24Rik",0,0,0,0,0,0
"1700008O03Rik",1,7,7,7,9,5
"1700008P02Rik",0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0
"1700009J07Rik",0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,1,1
"1700010D01Rik",0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0
"1700010I14Rik",99,92,81,72,88,75
"1700010J16Rik",0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0
"1700011A15Rik",1,0,0,0,0,0
"1700011B04Rik",2,4,3,3,3,1
"1700011C11Rik",0,0,0,0,0,0
"1700011E24Rik",0,2,0,3,2,1
"1700011H14Rik",1,2,0,3,3,1
"1700011I03Rik",0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,1,0
"1700011M02Rik",0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0
"1700012B09Rik",2,5,4,4,8,4
"1700012C14Rik",0,0,0,0,0,0
"1700012D01Rik",28,14,21,27,26,28
"1700012D14Rik",15,9,7,13,18,8
"1700012D16Rik",0,0,0,0,0,0
"1700012H19Rik",0,0,0,0,0,0
"1700012I11Rik",0,0,0,0,0,0
"1700012L04Rik",1,1,1,1,0,0
"1700012P22Rik",0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0
"1700013F07Rik",0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0
"1700015E13Rik",12,15,8,11,15,11
"1700015F17Rik",0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0
"1700016C15Rik",0,0,2,0,0,0
"1700016D06Rik",0,0,0,0,0,0
"1700016G22Rik",1,0,0,1,0,0
"1700016H13Rik",0,1,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0
"1700016L04Rik",0,0,0,0,1,1
"1700016L21Rik",0,0,0,0,0,0
"1700016P04Rik",0,0,0,0,0,0
"1700017B05Rik",1597,1393,1461,1067,1257,1023
"1700017D01Rik",1,1,0,3,2,0
"1700017G19Rik",4,3,5,1,12,9
"1700017J07Rik",0,0,0,0,0,0
"1700017L05Rik",0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0
"1700018B08Rik",0,0,0,1,0,1
"1700018B24Rik",0,0,0,0,0,0
"1700018C11Rik",2,0,1,1,1,2
"1700018F24Rik",0,0,0,0,0,0
"1700018G05Rik",0,0,0,0,0,0
"1700018L02Rik",9,4,8,7,8,10
"1700019A02Rik",1,0,0,1,0,0
"1700019B03Rik",1,0,2,0,1,1
"1700019B21Rik",0,0,0,0,0,0
"1700019C18Rik",0,0,0,0,0,0
"1700019D03Rik",1,0,0,0,0,0
"1700019E08Rik",0,0,0,0,0,0
"1700019G17Rik",47,54,47,46,84,54
"1700019G24Rik",0,0,0,0,0,0
"1700019L03Rik",21,22,23,23,26,35
"1700019M22Rik",0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0
"1700020A23Rik",7,3,5,3,2,1
"1700020D05Rik",36,34,27,33,48,23
"1700020D14Rik",0,0,0,0,0,0
"1700020G17Rik",0,0,0,0,0,0
"1700020I14Rik",1557,1432,1511,1456,2036,1511
"1700020L24Rik",395,305,306,126,127,98
"1700020M21Rik",0,0,0,0,0,0
"1700020N01Rik",0,0,2,1,0,1
"1700020N15Rik",0,0,0,0,0,0
"1700020N18Rik",1,1,2,1,2,0
"1700021F05Rik",349,338,346,221,275,265
"1700021F07Rik",0,0,0,0,0,0
"1700021K19Rik",1602,1464,1536,1694,2244,1909
"1700021N21Rik",1,0,0,0,0,0
"1700022A21Rik",0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0
"1700022H01Rik",0,0,0,0,1,2
"1700022H16Rik",0,0,0,0,0,0
"1700022I11Rik",0,0,2,2,2,0
"1700023C21Rik",0,0,0,0,0,0
"1700023F02Rik",0,0,0,0,0,0
"1700023F06Rik",8,5,7,7,6,6
"1700024B18Rik",0,0,0,0,0,0
"1700024F13Rik",3,4,12,3,10,5
"1700024G13Rik",0,0,0,0,0,0
"1700024I08Rik",0,0,0,0,0,0
"1700024N05Rik",0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0
"1700024P16Rik",201,179,198,76,81,110
"1700025B11Rik",0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0
"1700025G04Rik",852,839,1090,552,823,787
"1700025J12Rik",1,1,0,0,1,0
"1700025K24Rik",0,0,0,0,0,0
"1700025M24Rik",0,0,0,0,1,0
"1700025N23Rik",47,43,53,57,77,55
"1700026D08Rik",1,0,0,0,0,1
"1700026D11Rik",0,0,0,0,0,0
"1700026F02Rik",0,0,0,0,0,0
"1700026J14Rik",0,0,0,0,0,0
"1700026L06Rik",133,118,134,67,73,112
"1700027A15Rik",0,0,0,0,0,0
"1700027F06Rik",0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0
"1700027I24Rik",0,0,0,0,0,0
"1700027J07Rik",3,4,2,8,10,4
"1700028B04Rik",0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0
"1700028E10Rik",15,11,7,14,12,9
"1700028I16Rik",2,5,3,4,3,4
"1700028J19Rik",51,59,55,23,27,32
"1700028K03Rik",16,17,14,18,29,17
"1700028M03Rik",0,0,0,0,0,0
"1700028P14Rik",0,0,0,0,0,0
"1700028P15Rik",0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,0,0
"1700029H14Rik",2,5,2,4,7,2
"1700029I15Rik",23,26,17,29,37,24
"1700029J03Rik",0,0,0,0,0,0
"1700029J07Rik",13,17,10,26,40,16
"1700029M20Rik",0,0,0,0,0,0
"1700029N11Rik",1,0,0,0,1,0
"1700029P11Rik",0,0,0,0,0,0
"1700030A11Rik",1,0,0,0,0,0
"1700030C10Rik",8,13,11,11,4,7
"1700030F04Rik",0,0,0,0,0,0
"1700030F18Rik",0,0,0,0,0,0
"1700030J22Rik",38,33,31,43,56,46
"1700030K09Rik",216,184,194,167,265,184
"1700030L20Rik",0,0,0,0,0,0
"1700030M09Rik",0,0,0,1,0,0
"1700030N03Rik",0,0,0,0,0,0
"1700030O20Rik",0,0,0,0,0,0
"1700031A10Rik",0,0,0,0,0,0
"1700031F05Rik",0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0
"1700031P21Rik",0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0
"1700034G24Rik",0,0,0,0,0,0
"1700034H15Rik",10,9,10,4,7,4
"1700034I23Rik",0,1,2,3,1,0
"1700034J05Rik",0,1,0,0,0,0
"1700034K08Rik",0,0,0,0,0,0
"1700034O15Rik",0,0,0,0,0,0
"1700034P13Rik",6,3,0,3,7,2
"1700036G14Rik",0,0,0,0,0,0
"1700037C18Rik",75,61,65,86,119,71
"1700037H04Rik",995,820,680,594,710,505
"1700039E15Rik",0,0,0,0,0,0
"1700039E22Rik",0,0,0,0,0,0
"1700040L02Rik",2,0,3,1,2,0
"1700041A01Rik",0,0,0,0,0,0
"1700041C23Rik",0,0,0,0,0,0
"1700041M19Rik",0,0,0,0,0,0
"1700042G07Rik",0,0,0,0,0,0
"1700042G15Rik",0,0,0,0,0,0
"1700042O10Rik",0,0,0,0,1,0
"1700044C05Rik",0,0,0,0,0,0
"1700044K03Rik",0,0,0,0,0,0
"1700045H11Rik",0,0,0,0,0,0
"1700046C09Rik",0,0,0,0,0,0
"1700047A11Rik",1,1,0,0,1,0
"1700047E10Rik",0,0,0,0,0,0
"1700047G03Rik",0,0,0,0,0,0
"1700047I17Rik2",0,0,0,0,0,0
"1700047L14Rik",0,0,0,0,0,0
"1700047M11Rik",108,71,75,38,29,41
"1700048M11Rik",11,11,13,3,17,12
"1700048O20Rik",21,40,58,17,51,24
"1700049E15Rik",0,0,0,0,0,0
"1700049E22Rik",0,0,0,0,0,0
"1700049G17Rik",116,103,117,143,253,151
"1700049L16Rik",0,0,0,0,0,0
"1700051A21Rik",0,0,0,0,0,0
"1700052I22Rik",0,0,0,0,0,0
"1700052K11Rik",93,68,74,66,107,62
"1700054A03Rik",0,0,0,0,0,0
"1700054K19Rik",0,0,0,0,0,0
"1700054M17Rik",0,0,0,0,1,1
"1700055C04Rik",0,0,0,0,0,0
"1700056E22Rik",11,6,12,5,18,5
"1700057G04Rik",0,0,0,0,0,0
"1700057H15Rik",0,0,0,0,0,0
"1700057H21Rik",0,0,0,0,0,0
"1700060C16Rik",0,0,0,0,0,0
"1700060C20Rik",0,0,0,0,0,0
"1700061F12Rik",0,0,0,0,0,0
"1700061G19Rik",79,73,100,49,77,91
"1700061I17Rik",0,0,0,0,0,0
"1700061J23Rik",0,0,0,0,0,0
"1700063A18Rik",0,0,0,0,0,0
"1700063D05Rik",0,0,1,0,1,0
"1700063O14Rik",0,0,0,0,0,0
"1700064J06Rik",0,0,0,0,0,0
"1700064M15Rik",0,0,0,0,0,0
"1700065D16Rik",2,4,0,1,7,1
"1700065I16Rik",0,0,0,0,0,0
"1700065J11Rik",0,0,0,0,0,0
"1700065J18Rik",0,0,0,0,0,0
"1700065L07Rik",0,0,0,0,0,0
"1700065O20Rik",0,0,0,0,0,0
"1700066B17Rik",1,0,0,0,1,2
"1700066B19Rik",8,10,9,13,19,8
"1700066J03Rik",0,0,0,0,1,0
"1700066M21Rik",300,231,232,152,175,175
"1700066N21Rik",0,0,0,0,0,0
"1700066O22Rik",0,0,0,0,0,0
"1700067G17Rik",0,0,0,2,0,1
"1700067K01Rik",18,10,19,15,19,13
"1700067P10Rik",0,1,0,0,0,0
"1700069L16Rik",0,0,0,0,0,0
"1700069P05Rik",0,0,0,0,0,0
"1700071K01Rik",0,0,0,0,0,0
"1700071M16Rik",287,251,236,334,453,438
"1700072B07Rik",0,0,0,0,0,0
"1700072I22Rik",0,0,0,0,0,0
"1700072O05Rik",0,0,0,0,0,0
"1700073E17Rik",0,0,0,0,0,0
"1700074H08Rik",0,0,0,0,1,1
"1700074P13Rik",0,0,0,0,0,0
"1700080E11Rik",0,0,0,0,0,0
"1700080N15Rik",0,0,0,0,0,0
"1700080O16Rik",0,0,0,0,0,0
"1700081H04Rik",0,0,0,0,0,0
"1700084C01Rik",1,0,1,1,1,0
"1700084D21Rik",0,0,0,0,0,0
"1700084E18Rik",9,3,1,9,7,3
"1700084F23Rik",0,0,0,0,0,0
"1700084J12Rik",5,2,2,2,3,0
"1700084M14Rik",0,0,0,0,0,0
"1700085C21Rik",0,0,0,0,0,0
"1700086L19Rik",0,0,0,0,0,0
"1700086O06Rik",21,32,24,11,20,22
"1700088E04Rik",0,0,0,0,3,1
"1700091H14Rik",0,0,0,0,0,0
"1700092C02Rik",0,0,0,0,0,0
"1700092C10Rik",0,0,0,0,0,0
"1700092E19Rik",0,0,0,0,0,0
"1700092K14Rik",0,0,0,0,0,0
"1700092M07Rik",7,5,5,3,5,1
"1700093K21Rik",1,2,0,0,2,0
"1700094D03Rik",190,178,158,196,243,150
"1700094J05Rik",1,0,1,0,0,0
"1700094M24Rik",0,0,0,0,0,0
"1700095A21Rik",0,0,0,0,0,0
"1700095B10Rik",0,0,0,0,0,0
"1700095J12Rik",1,0,0,0,1,0
"1700096J18Rik",3,1,1,2,0,0
"1700096K18Rik",48,51,45,61,65,41
"1700096P03Rik",0,0,0,0,0,0
"1700097N02Rik",6,6,7,7,8,4
"1700099I09Rik",1,1,0,1,0,0
"1700100I10Rik",0,0,0,0,0,0
"1700100L14Rik",0,0,0,0,2,0
"1700101E01Rik",0,0,2,0,0,1
"1700101I11Rik",6,1,2,6,2,3
"1700101O22Rik",0,0,0,0,0,0
"1700102H20Rik",4,5,3,0,2,1
"1700102P08Rik",13,8,11,12,13,11
"1700104L18Rik",0,0,0,0,0,0
"1700105P06Rik",0,0,0,1,0,0
"1700106J16Rik",0,0,0,0,0,0
"1700108F19Rik",0,0,0,0,0,0
"1700108J01Rik",0,0,0,0,1,0
"1700109G14Rik",0,0,0,0,0,0
"1700109G15Rik",0,0,0,0,0,0
"1700109H08Rik",62,51,36,35,75,46
"1700109I08Rik",0,0,0,0,0,0
"1700109K24Rik",8,10,7,4,11,9
"1700110C19Rik",5,6,4,7,6,4
"1700110I01Rik",0,0,0,0,0,0
"1700110I07Rik",0,0,0,0,0,0
"1700110K17Rik",0,1,0,0,1,0
"1700111N16Rik",0,0,0,0,0,0
"1700112E06Rik",310,252,267,225,285,300
"1700112H15Rik",1,2,2,3,2,4
"1700112J05Rik",1,0,2,1,1,0
"1700112J16Rik",2,2,0,1,0,0
"1700113A16Rik",151,132,119,143,161,155
"1700113B09Rik",0,0,0,0,0,0
"1700113H08Rik",0,0,0,0,0,0
"1700116B05Rik",0,0,0,0,2,0
"1700119H24Rik",1,0,0,1,0,0
"1700120C14Rik",4,5,0,2,2,0
"1700120E14Rik",0,0,0,0,0,0
"1700120G07Rik",1,0,0,0,0,0
"1700120K04Rik",12,16,8,10,9,11
"1700121L16Rik",0,0,0,0,0,0
"1700121N20Rik",0,0,0,0,0,0
"1700122C19Rik",0,0,0,0,0,0
"1700122O11Rik",0,0,0,0,0,0
"1700123I01Rik",1,2,2,4,4,0
"1700123J17Rik",0,0,0,0,0,0
"1700123K08Rik",0,0,0,0,0,0
"1700123L14Rik",0,0,0,0,0,0
"1700123M08Rik",19,14,5,10,16,12
"1700123O12Rik",0,0,0,0,0,0
"1700123O20Rik",1135,942,1077,804,1050,814
"1700123O21Rik",0,0,0,0,0,0
"1700124L16Rik",3,3,2,4,6,5
"1700125G02Rik",0,0,0,0,0,0
"1700125G22Rik",0,0,0,1,0,0
"1700125H03Rik",3,2,2,1,9,4
"1700125H20Rik",3,0,0,0,2,0
"1700126H18Rik",0,0,0,0,0,0
"1700128A07Rik",0,0,0,0,0,0
"1700128F08Rik",0,0,0,0,0,0
"1700129C05Rik",0,0,0,0,0,0
"1810006J02Rik",49,42,41,20,37,22
"1810007C17Rik",0,0,0,0,0,0
"1810007D17Rik",0,0,0,0,0,0
"1810008I18Rik",6,1,1,0,0,0
"1810009A15Rik",1,3,1,0,5,5
"1810009J06Rik",0,0,0,0,0,0
"1810010D01Rik",14,16,12,23,29,12
"1810010H24Rik",7,14,7,9,13,16
"1810011H11Rik",472,402,367,581,718,441
"1810011O10Rik",0,0,0,1,0,0
"1810012K16Rik",1,3,1,1,2,2
"1810013A23Rik",3,1,0,1,3,1
"1810013L24Rik",1929,1716,1668,1748,2329,1759
"1810014B01Rik",46,47,46,35,33,33
"1810018F18Rik",0,0,0,0,0,0
"1810019D21Rik",4,1,3,0,4,2
"1810020O05Rik",0,1,0,4,3,1
"1810021B22Rik",32,47,27,39,47,53
"1810022K09Rik",650,622,618,487,710,474
"1810024B03Rik",21,21,27,15,34,19
"1810026B05Rik",593,559,512,495,669,475
"1810026J23Rik",1326,1206,1192,1048,1407,925
"1810030O07Rik",1592,1427,1489,1199,1591,1253
"1810032O08Rik",311,244,245,186,228,160
"1810034E14Rik",105,126,99,133,228,169
"1810037I17Rik",2039,1976,1862,1694,1982,1695
"1810041H14Rik",4,4,5,3,2,2
"1810041L15Rik",0,1,0,1,0,0
"1810043G02Rik",337,330,290,293,414,337
"1810043H04Rik",494,438,412,398,430,321
"1810044D09Rik",43,37,37,49,51,26
"1810046K07Rik",1,1,1,0,2,0
"1810053B23Rik",0,0,0,0,0,0
"1810055G02Rik",521,487,435,322,403,314
"1810058I24Rik",1828,1632,1605,2131,2740,2123
"1810062G17Rik",9,5,5,14,11,7
"1810062O18Rik",3,2,2,3,6,4
"1810063I02Rik",0,0,0,0,0,0
"1810064F22Rik",0,0,0,0,0,0
"1810065E05Rik",0,0,0,0,0,0
"2010001A14Rik",58,74,68,95,133,102
"2010001E11Rik",0,2,0,0,0,0
"2010003K11Rik",0,0,0,1,2,0
"2010005H15Rik",2443,2142,1326,1553,1661,1164
"2010009K17Rik",1,2,0,3,0,0
"2010010A06Rik",0,0,0,1,0,0
"2010012O05Rik",269,235,294,229,253,200
"2010016I18Rik",76,69,69,52,64,73
"2010106C02Rik",0,2,0,0,0,0
"2010106E10Rik",0,0,0,0,0,0
"2010107E04Rik",1496,1389,1564,1023,1278,972
"2010107G12Rik",5,3,2,1,5,5
"2010107G23Rik",9,11,2,28,32,20
"2010109A12Rik",3,3,3,2,4,2
"2010109I03Rik",8,4,9,3,4,1
"2010111I01Rik",823,745,873,599,733,719
"2010204K13Rik",6,6,2,1,7,1
"2010300C02Rik",11,11,8,10,8,10
"2010308F09Rik",5,1,3,0,1,0
"2010310C07Rik",2,2,2,1,2,1
"2010315B03Rik",559,544,581,598,842,617
"2010320M18Rik",99,112,131,102,119,128
"2200002D01Rik",49,61,39,120,219,130
"2200002J24Rik",2,1,1,2,0,0
"2210010C04Rik",3,1,2,3,1,0
"2210011C24Rik",2,0,3,0,2,2
"2210013O21Rik",293,281,318,293,462,355
"2210015D19Rik",223,179,229,155,197,156
"2210016F16Rik",1233,1245,1353,1073,1399,996
"2210016L21Rik",732,761,764,703,896,743
"2210018M11Rik",1127,1076,1041,982,1255,1072
"2210019I11Rik",0,1,0,0,0,0
"2210039B01Rik",1,0,0,0,0,0
"2210404E10Rik",0,1,0,0,0,0
"2210404O09Rik",124,126,168,140,225,175
"2210406O10Rik",0,1,2,0,2,0
"2210407C18Rik",0,0,0,1,0,0
"2210408F21Rik",218,208,203,200,308,244
"2210408I21Rik",33,28,36,27,37,27
"2210409D07Rik",0,0,0,0,0,0
"2210409E12Rik",0,0,0,0,0,0
"2210414B05Rik",1,1,0,0,1,0
"2210416O15Rik",2,1,1,6,3,3
"2210417A02Rik",4,6,2,1,0,2
"2210420H20Rik",0,0,0,0,0,0
"2300002M23Rik",0,0,0,0,0,0
"2300003K06Rik",0,0,0,0,0,0
"2300005B03Rik",0,0,0,0,0,0
"2300009A05Rik",91,69,65,87,89,79
"2310001H17Rik",292,237,205,238,306,186
"2310001K24Rik",0,0,0,0,0,0
"2310002D06Rik",0,0,0,0,0,0
"2310002F09Rik",0,0,0,0,0,0
"2310002L09Rik",0,0,0,0,0,0
"2310003N18Rik",0,0,0,0,0,0
"2310005A03Rik",0,0,0,0,0,0
"2310005E17Rik",0,0,0,0,0,0
"2310007B03Rik",0,0,0,0,1,0
"2310008N11Rik",1,0,0,1,0,0
"2310009A05Rik",217,183,174,174,205,185
"2310009B15Rik",147,119,157,80,107,112
"2310010G23Rik",6,2,6,3,8,5
"2310010J17Rik",45,46,39,56,94,45
"2310011J03Rik",1983,1901,1800,1755,2234,1646
"2310015A10Rik",696,612,441,634,922,596
"2310015D24Rik",1,0,0,1,2,0
"2310016D03Rik",0,0,0,0,0,0
"2310020H05Rik",0,0,0,0,0,0
"2310022A10Rik",1013,985,1002,912,1222,907
"2310022B05Rik",306,328,366,369,471,434
"2310030A07Rik",0,0,0,0,0,0
"2310030G06Rik",11,7,9,12,24,17
"2310033P09Rik",531,505,473,307,441,350
"2310034C09Rik",0,0,0,0,0,0
"2310034G01Rik",16,14,18,23,31,14
"2310034O05Rik",3,4,1,6,9,3
"2310035C23Rik",1584,1459,1563,1347,1907,1541
"2310036O22Rik",3386,3150,2978,2767,3582,2655
"2310039H08Rik",248,271,205,219,241,186
"2310039L15Rik",0,0,0,0,0,0
"2310040G24Rik",101,90,85,53,73,61
"2310043L19Rik",0,0,2,1,2,2
"2310043O21Rik",1,0,0,0,0,1
"2310045N01Rik",1436,1382,1273,1233,1692,1371
"2310045n01rik-mef2b",0,0,0,0,0,0
"2310047M10Rik",1151,1031,1121,905,1119,989
"2310050C09Rik",0,0,0,0,0,0
"2310057J18Rik",0,0,0,0,0,0
"2310057M21Rik",278,236,257,155,252,181
"2310057N15Rik",0,0,0,0,0,0
"2310061I04Rik",648,579,599,470,677,474
"2310061N02Rik",0,0,0,0,0,0
"2310065F04Rik",0,0,0,0,0,0
"2310067B10Rik",2001,1836,1882,1578,2156,1779
"2310068J16Rik",4,2,3,6,9,2
"2310069B03Rik",0,0,0,3,4,0
"2310069G16Rik",0,0,0,0,0,0
"2310075C17Rik",0,0,0,0,0,0
"2310079G19Rik",0,0,0,0,0,0
"2310081J21Rik",0,0,0,0,0,0
"2400006E01Rik",0,0,0,0,0,0
"2410002F23Rik",2469,2210,2517,1168,1548,1010
"2410003L11Rik",10,6,1,2,3,2
"2410004B18Rik",386,358,400,322,423,305
"2410004I01Rik",0,0,0,0,0,0
"2410004P03Rik",23,19,31,12,12,9
"2410006H16Rik",1353,1309,1245,1672,2283,1497
"2410012E07Rik",0,0,0,0,0,0
"2410015M20Rik",1266,1239,1275,1011,1292,937
"2410016O06Rik",894,719,659,537,720,411
"2410017I17Rik",1,0,0,1,1,0
"2410018L13Rik",2,0,1,2,1,0
"2410021H03Rik",0,0,3,1,2,1
"2410089E03Rik",686,608,650,555,738,700
"2410124H12Rik",0,0,0,0,0,0
"2410127L17Rik",335,348,311,211,261,197
"2410131K14Rik",463,452,395,429,590,406
"2410137M14Rik",0,0,0,0,1,0
"2410141K09Rik",0,0,1,0,0,0
"2500002B13Rik",31,22,30,26,32,33
"2500004C02Rik",60,50,41,24,50,34
"2510002D24Rik",295,291,274,245,342,270
"2510003B16Rik",2,2,5,2,7,2
"2510009E07Rik",692,662,524,481,763,568
"2510039O18Rik",3193,2977,2866,2404,3113,2595
"2610001J05Rik",1857,1727,1800,1384,1764,1530
"2610002M06Rik",839,691,721,568,750,562
"2610005L07Rik",524,415,352,452,617,380
"2610008E11Rik",226,209,218,177,263,209
"2610015P09Rik",181,191,184,159,219,181
"2610016A17Rik",0,0,0,0,1,0
"2610020C07Rik",32,23,32,21,26,14
